mms_id,alma_title,alma_author,alma_pubplace,alma_publisher,alma_pubdate,alma_notes,alma_lang,alma_keywords
990028612000106381,Uber einen bemerkenswerten l-stell-vertreter im dialekt von aklan aufder insel Panay (Filipinen) [microform] / von Otto Scheerer.,"Scheerer, Otto.",Berlin :,"D. Reimer,",19--.,"['Microfilm no. 34.', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'German and Hiligaynon.', 'From the Bartlett Collection on the Philippines and the East Indies.']",ger,"['Kinaray-a language -- Grammar.', 'Kinaray-a language -- Phoenetics.']"
990028612010106381,On the essential difference between the verbs of the European and the Philippine languages [microform] / Otto Scheerer.,"Scheerer, Otto.",Manila :,"[Bureau of Printing],",1924.,"['Microfilm no. 34.', 'Wanting pp. 2-3.', 'In : Philippine Journal of Education.--Vol. VIII, Nos. 4 & 5 (1924)', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",eng,"['Philippine languages -- Verb.', 'English language -- Verb.']"
990028612020106381,On a quinary notation among the Ilongots of Northern Luzon [microform] / Otto Scheerer.,"Scheerer, Otto.",Manila :,"Bureau of Printing,",1911.,"['Microfilm no. 34.', 'In : Philippine Journal of Science.--Vol. 6, no. 1 (February, 1911)', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",eng,['Ilongot language -- Numerals.']
990028612030106381,Alexander Schadenberg [microform] : his life and work in the Philippines / Otto Scheerer.,"Scheerer, Otto.",Manila :,"Bureau of Printing,",1923.,"['Microfilm no. 34.', 'In : Philippine Journal of Science.--Vol. 22, no. 4 (April, 1923)', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",eng,"['Genealogy -- Philippines.', 'Schadenberg, Alexander, -- 1852-1896.']"
990028612040106381,Batan texts with notes [microform] / Otto Scheerer.,"Scheerer, Otto.",Manila :,"Bureau of Printing,",1926.,"['Microfilm no. 34.', 'In : Philippine Journal of Science.-- Vol. 31, no. 3 (November 1926)', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'In Batan and English.', 'From the Bartlett Collection on the Philippines and the East Indies.']",eng,['Ivatan language -- Texts.']
990028612050106381,Isneg texts with notes [microform] / Otto Scheerer.,"Scheerer, Otto.",Manila :,"Bureau of Printing,",1928.,"['Microfilm no. 34.', 'In : Philippine Journal of Science.-- Vol. 36, no. 4 (August 1928)', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'In Isneg and English.', 'From the Bartlett Collection on the Philippines and the East Indies.']",eng,['Isneg language -- Texts.']
990028612060106381,The Batàn dialect as a member of the Philippine group of languages / Otto Scheerer.,"Scheerer, Otto.",Manila :,"Bureau of Printing,",1908.,"['Microfilm no. 34.', 'Part 1. Batan dialect as a member of the Philippine group of languages /Otto Scheerer--""F"" and ""V"" in Philippine languages /Carlos Everett Conant.', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",eng,"['Ivatan language.', 'Philippine languages.', 'Conant, Carlos Everett, -- 1870-1925. -- ""F"" and ""V"" in Philippine languages.']"
990028612070106381,Diccionario manual de terminos comunes Español-Tagalo [microform] / por Don Rosendo Serrano.,"Serrano, Rosalio.",Manila :,"Libreria de J. Martinez,",1913.,"['Microfilm no. 34.', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",spa,"['Spanish language -- Terms and phrases.', 'Tagalog language -- Terms and phrases.', 'Spanish language -- Dictionaries -- Tagalog.', 'Spanish language -- Philippines.']"
990028612090106381,Diccionario Hispano-Tagalog [microform] / por Pedro Serrano Laktaw.,"Serrano Laktaw, Pedro.",Manila :,"Estab. Tipografico La Opinion,",1889.,"['Microfilm no. 34.', '""Primera parte.""', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",spa,['Spanish language -- Dictionaries -- Tagalog.']
990028612240106381,Diccionario Tag'alog-Hispano [microform] / por Pedro Serrano Laktaw.,"Serrano Laktaw, Pedro.",Manila :,"Islas Filipinas,",1914.,"['""Segunda parte"".', 'Microfilm no. 34, item 10 (from beginning until p. 501) and continued on microfilm no. 35, item 1 (pp. 502-1392).', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",tgl,['Tagalog language -- Dictionaries -- Spanish.']
990028624820106381,Orientaciones / por Makabuhay.,Makabuhay.,Manila :,"[s.n.,",1992],"['Photocopy.', '[Des Moines, Iowa] :', 'LBS Archival Products,', '1993.', '23 cm.']",spa,['Philippines -- Politics and government -- 1898-1935.']
990028658460106381,"Vocabulario o Manual de dialogos en español y bisaya [microform] / por D. Dionisio M. Mirasol. Corregido, reformado y extensamente aumentado por Casimiro F. Perfecto.","Mirasol, Dionisio M.","Mandurriao, Iloilo :","La Panayana,",1926.,"['Microfilm no. 24.', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",spa,"['Spanish language -- Dictionaries -- Bisayan.', 'Bisayan languages -- Grammar.']"
990028658480106381,Pag susulatan nang dalauang binibini na si Urbana at ni Feliza [microform] : na nagtuturo ng̃ mabuting kaugalian / kinatha nang Modesto de Castro.,"De Castro, Presbitero D. Modesto.",Manila :,"J. Martinez,",[190-?],"['Microfilm no. 24.', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",tgl,"['Young women -- Conduct of life.', 'Women -- Philippines.']"
990028658750106381,Vocabulario Iloco-Español [microform] : trbajado por varios religiosos del orden de N.P.S. Agustin / coordinado por Predicador Andrés Carro y ultimamente aumentado y corregido por algunos religiosos del mismo orden.,"Carro, Andrés, 1733-1806.",Manila :,"Est. Tipo-Litografico de M. Perez,",1888.,"['Microfilm no. 20.', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",ilo,"['Spanish language -- Dialects.', 'Iloko language -- Dictionaries -- Spanish.', 'Philippines.']"
990028658760106381,Vocabulario de la lengua Bicol [microform] / compuesto por Maŕcos de Lisboa.,"Lisboa, Márcos de, -1628.",Manila :,"Est. Tip. del Colegio de Santo Tomas,",1865.,"['""Reimpreso epensas del Exmo. Ilmo. y Rmo. Sr. Dr. D. Fr. Francisco Gainza, ...."" -- T.p.', 'Microfilm no. 20.', 'Contents: Diccionario o vocabulario de la lengua Bicol -- Diccionario y vocabulario de el idioma Español y Bicol.', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",bik,"['Bikol language -- Dictionaries -- Spanish.', 'Spanish language -- Dictionaries -- Bikol.']"
